,A,B,C,D,E,F,G,H,I,J,K,L,batID,treatment,date,weight,totalconcentration,sugarproportion,sampleID
1,6.80231852,0.221814915,0,0.166862042,0,0.688488724,0.943950064,0,0,0,1.476120104,0.091520418,1,0,7/4/21,19.79,11.39107479,0.113910748,1_7421
2,6.487522523,0.28025838,0,0.297649808,0,0.98505868,1.123305498,0.176409132,0,0,0.831122258,0.146507141,2,2,7/4/21,21.15,12.32783342,0.123278334,2_7421
3,5.950291544,0.268955591,0,0.171530201,0,2.919908594,3.046337806,0.414661005,0,0,0.911368672,0,3,1.5,7/4/21,15.92,16.68305341,0.166830534,3_7421
4,8.350512226,0.130036876,0,0,0,0.410904309,0.542774237,0,0,0,1.381447885,0,4,0.5,7/4/21,15.31,14.81567553,0.148156755,4_7421
5,6.680840488,0.092978042,0,0,0,1.687899569,1.62209548,0.211682888,0,0,0.58047086,0,5,0.1,7/4/21,15.1,15.87596733,0.158759673,5_7421
6,6.564544482,0.094154112,0,0,0,0.465661335,0.506094196,0,0,0,1.272243447,0,7,0,7/4/21,13.26,15.90269757,0.159026976,7_7421
7,5.845684923,0.088102888,0,0,0,1.071670844,1.119426156,0,0,0,0.453545986,0.124974163,8,2,7/4/21,13.97,16.70340496,0.16703405,8_7421
9,5.500508319,0.194378998,0,0,0,0.527105087,0.674546299,0,0,0,0.565727573,0,2,0,7/5/21,9.29,9.462266276,0.094622663,2_7521
10,4.216568611,0.095769282,0,0,0,0.948656993,1.118910591,0,0,0,0,0,3,2,7/5/21,11.19,9.379905478,0.093799055,3_7521
11,7.112638718,0.137230458,0,0,0,0.26859902,0.451491955,0,0,0,2.267450181,0,4,1.5,7/5/21,12.48,14.23741033,0.142374103,4_7521
12,5.830925366,0.078976492,0,0,0,0.347076127,0.565852426,0,0,0,0.761069033,0,5,0.5,7/5/21,11.49,12.58389944,0.125838994,5_7521
13,6.141635978,0,0,0,0,0,0.313384544,0,0,0,2.667571562,0,7,0.1,7/5/21,11.79,16.12259208,0.161225921,7_7521
14,4.698496712,0.128585589,0,0,0,0.46130715,0.731749997,0,0,0,0.453707163,0,8,0,7/5/21,10.65,14.47384661,0.144738466,8_7521
15,3.604761603,0,0,0,0,3.104476324,3.131320845,0,0,0,0.861152238,0,9,2,7/5/21,9.79,19.70171101,0.19701711,9_7521
16,7.206902458,0.171676829,0,0,0.193686498,0.739255402,1.129114362,0.136846528,0,0,1.166643669,0.068296285,2,0.1,7/6/21,25.9,12.81242203,0.12812422,2_7621
17,4.006719638,0.19870436,0,0,0,0.475608538,0.708285995,0,0.294531393,0,1.702053975,0,3,0,7/6/21,12.32,10.3859039,0.103859039,3_7621
18,4.757183117,0,0,0,0,0,0.271392488,0,0,0,0.913328449,0,4,2,7/6/21,10.25,9.941904054,0.099419041,4_7621
19,5.045618614,0.024053907,0,0,0,0.516890853,1.002869846,0,0,0,1.038262357,0.140383717,5,1.5,7/6/21,15.74,12.76807929,0.127680793,5_7621
20,5.125158875,0,0,0,0,0.336035581,0.54540775,0,0,0,1.767885628,0,7,0.5,7/6/21,14.32,14.77448783,0.147744878,7_7621
21,4.1282575,0,0,0,0,1.500544279,1.765333087,0,0,0,0.778515022,0,9,0,7/6/21,9.5,17.17264989,0.171726499,9_7621
22,3.720574281,0,0,0,0,0,0.293771453,0,0,0,0,0,2,0.5,7/7/21,6.15,6.014345734,0.060143457,2_7721
23,3.278745882,0.099634979,0,0,0,0.533419263,0.953566337,0,0,0,0,0,3,0.1,7/7/21,15.52,7.86536646,0.078653665,3_7721
24,3.859203128,0,0,0,0,0,0.376291593,0,0,0,0.655876227,0,4,0,7/7/21,11.23,8.891370947,0.088913709,4_7721
25,3.447697082,0.125208195,0,0,0,0.296815722,0.632659749,0,0,0,0,0,5,2,7/7/21,13.99,9.502380748,0.095023807,5_7721
26,3.02179275,0,0,0,0,0.239413913,0.580360029,0,0,0,0.496235152,0,7,1.5,7/7/21,13.88,11.33780185,0.113378018,7_7721
27,3.2626643,0,0,0,0,0,0.277262289,0,0,0,0.648445086,0,8,0.5,7/7/21,18.81,12.18837168,0.121883717,8_7721
28,2.015981148,0,0,0,0,0,0.363317185,0,0,0,0,0,9,0.1,7/7/21,9.85,11.37929833,0.113792983,9_7721
29,3.065238401,0,0,0,0,0.331771999,0.647427254,0,0,0,0,0,2,1.5,7/8/21,17.32,6.044437654,0.060444377,2_7821
30,3.041444697,0.030506057,0.025321825,0,0,0.938954077,1.800516618,0,0.176084076,0.371397933,0,0,3,0.5,7/8/21,20.73,9.384225284,0.093842253,3_7821
31,3.959841064,0,0,0,0,0.17686798,0.311006126,0,0,0,0,0,4,0.1,7/8/21,9.46,8.447715171,0.084477152,4_7821
32,3.58499337,0,0,0,0,0.484070432,0.817560372,0,0,0,0,0,5,0,7/8/21,14,9.886624174,0.098866242,5_7821
33,1.874472305,0,0,0,0,0.156595685,0.280337442,0,0,0,0,0,7,2,7/8/21,18.49,9.311405431,0.093114054,7_7821
34,2.559233058,0,0,0,0,0.2011143,0.400962335,0,0,0,0,0,8,1.5,7/8/21,11.37,11.16130969,0.111613097,8_7821
35,2.490088065,0,0,0,0,0.968244026,1.321687354,0,0,0.175083053,0,0,9,0.5,7/8/21,16.48,13.9551025,0.139551025,9_7821
36,2.053619074,0,0,0,0,0.725434077,1.09286614,0,0,0,0.497757402,0,10,0,7/15/21,18.17,14.36967669,0.143696767,10_71521
37,3.039939678,0,0,0,0,0.170640048,0.184669768,0,0,0,0.429481223,0,11,2,7/15/21,10.21,14.82473072,0.148247307,11_71521
38,3.057603634,0,0,0,0,0,0.250108032,0,0,0,0.362246585,0,12,1.5,7/15/21,9.29,15.66995825,0.156699583,12_71521
39,3.029468053,0,0,0,0,0.232685166,0.248468827,0,0,0,0.687267199,0,14,0.1,7/15/21,17.41,18.19788925,0.181978892,14_71521
40,3.385519494,0,0,0,0,0,0.251247681,0,0,0,0.549165181,0,15,0,7/15/21,8.54,19.18593235,0.191859324,15_71521
41,2.547595043,0,0,0,0,0.190743024,0.27391387,0,0,0,0.446157661,0,16,2,7/15/21,14.24,19.4584096,0.194584096,16_71521
42,2.634166745,0,0,0,0,0.521104133,0.841659619,0,0,0,0.383267993,0,17,1.5,7/15/21,16.8,21.38019849,0.213801985,17_71521
43,3.006930638,0,0,0,0,0.208865223,0.535692219,0,0,0,0.344785111,0,18,0.5,7/15/21,12.97,22.09627319,0.220962732,18_71521
44,2.58563976,0,0,0,0,0.700321727,0.860961316,0,0,0,0,0,19,0.1,7/15/21,11.43,23.1469228,0.231469228,19_71521
45,2.167853396,0,0,0,0,0.337486418,0.527222506,0,0,0,0,0,11,0,7/16/21,15.23,14.03256232,0.140325623,11_71621
46,2.702242829,0,0,0,0,0.304498201,0.472275415,0,0,0,0,0,12,2,7/16/21,13.01,15.47901644,0.154790164,12_71621
47,2.741961117,0,0,0,0,0.395667415,0.768595704,0,0,0,0,0,13,1.5,7/16/21,17.64,16.90622424,0.169062242,13_71621
48,2.151301206,0,0,0,0,1.090236222,1.550481644,0,0.144840908,0.432556413,0,0,14,0.5,7/16/21,17.06,19.36941639,0.193694164,14_71621
49,2.738286202,0,0,0,0,0.318087147,0.587833772,0,0,0,0.293663679,0,15,0.1,7/16/21,17.39,18.9378708,0.189378708,15_71621
50,2.326445088,0,0,0,0,0.412514028,0.616523271,0,0,0,0,0,17,2,7/16/21,14.81,20.35548239,0.203554824,17_71621
51,2.170574154,0,0,0,0,0.305406424,0.546373785,0,0,0,0,0,18,1.5,7/16/21,14.77,21.02235436,0.210223544,18_71621
52,2.035549614,0,0,0,0,0.591276652,0.833024501,0,0,0,0,0,19,0.5,7/16/21,10.72,22.45985077,0.224598508,19_71621
53,2.524212998,0,0,0,0,1.183311998,0.954436044,0,0,0,0,0,10,0.5,7/17/21,15.5,14.66196104,0.14661961,10_71721
54,2.830388448,0,0,0,0,0.457003998,0.119301391,0,0,0,0.480998859,0,11,0.1,7/17/21,12.87,14.88769269,0.148876927,11_71721
55,3.790617538,0,0,0,0,0.191330349,0.246393211,0,0,0,0.823522301,0,12,0,7/17/21,14.16,17.0518634,0.170518634,12_71721
56,2.824175493,0,0,0,0,0.258053963,0.356472926,0,0,0,0.424411817,0,13,2,7/17/21,17.85,16.8631142,0.168631142,13_71721
57,2.36287689,0,0,0,0,0.476183749,0.5991709,0,0,0,0.388751376,0,14,1.5,7/17/21,11.33,17.82698292,0.178269829,14_71721
58,2.581046804,0,0,0,0,0.26196384,0.388678848,0,0,0,0.778141264,0,15,0.5,7/17/21,9.84,19.00983076,0.190098308,15_71721
59,2.647052293,0,0,0,0,0,0,0,0,0,0,0,16,0.1,7/17/21,10.17,18.64705229,0.186470523,16_71721
60,2.610187132,0,0,0,0,0,0,0,0,0,0.469905111,0,17,0,7/17/21,9.71,20.08009224,0.200800922,17_71721
61,2.290203603,0,0,0,0,0.198225127,0.237990149,0,0,0,0,0,18,2,7/17/21,11.45,20.72641888,0.207264189,18_71721
62,2.012261714,0,0,0,0,0.440667902,0.68991752,0,0,0,0.36660257,0,19,1.5,7/17/21,12.02,22.50944971,0.225094497,19_71721
63,1.684067361,0,0,0,0,0.605461631,0.630967025,0,0,0,0,0,10,1.5,7/18/21,12.38,12.92049602,0.12920496,10_71821
64,2.322939843,0,0,0,0,0.163259833,0.20220378,0,0,0,0.560441417,0,11,0.5,7/18/21,13.31,14.24884487,0.142488449,11_71821
65,2.701575072,0,0,0,0,0,0.216544674,0,0,0,0.440311797,0,12,0.1,7/18/21,9.36,15.35843154,0.153584315,12_71821
66,2.368526872,0,0,0,0,0.211015066,0.238170987,0,0,0,0,0,13,0,7/18/21,11.75,15.81771293,0.158177129,13_71821
67,1.79286705,0,0,0,0,0.158500704,0.279840363,0,0,0,0.307610871,0,14,2,7/18/21,12.39,16.53881899,0.16538819,14_71821
68,2.351127573,0,0,0,0,0.456787444,0.469311667,0,0,0,0,0,15,1.5,7/18/21,17.97,18.27722668,0.182772267,15_71821
69,2.319939048,0,0,0,0,0.206575203,0.300966001,0,0,0,0.287378667,0,16,0.5,7/18/21,15.62,19.11485892,0.191148589,16_71821
70,2.678583221,0,0,0,0,0.22055719,0.250120742,0,0,0,0.293348905,0,17,0.1,7/18/21,13.28,20.44261006,0.204426101,17_71821
71,2.032640989,0,0,0,0,0.155904582,0.183161325,0,0,0,0,0,18,0,7/18/21,12.83,20.3717069,0.203717069,18_71821
72,1.764524791,0,0,0,0,0.545726254,0.525694842,0,0,0,0,0,19,2,7/18/21,8.24,21.83594589,0.218359459,19_71821
73,1.815873879,0,0,0,0,0.47135126,0.614269014,0,0,0,0,0,10,2,7/19/21,13.98,12.90149415,0.129014942,10_71921
74,1.669456897,0,0,0,0,0.211747402,0.263010463,0,0,0,0,0,11,1.5,7/19/21,14.66,13.14421476,0.131442148,11_71921
75,2.497259373,0,0,0,0,0.156571303,0.299969402,0,0,0,0,0,12,0.5,7/19/21,12.05,14.95380008,0.149538001,12_71921
76,2.69200558,0,0,0,0,0.211939464,0.234084155,0,0,0,0,0,13,0.1,7/19/21,15.47,16.1380292,0.161380292,13_71921
77,1.848149613,0,0,0,0,0.300697712,0.410454128,0,0,0,0,0,14,0,7/19/21,14.19,16.55930145,0.165593015,14_71921
78,2.025734876,0,0,0,0,0.257889814,0.439859859,0,0,0,0,0,15,2,7/19/21,10.59,17.72348455,0.177234845,15_71921
79,1.916088445,0,0,0,0,0.210848967,0.240264062,0,0,0,0,0,16,1.5,7/19/21,15.08,18.36720147,0.183672015,16_71921
80,2.034261806,0,0,0,0,0.200502565,0.3749548,0,0,0,0,0,17,0.5,7/19/21,13.03,19.60971917,0.196097192,17_71921
81,1.70503448,0,0,0,0,0.212294209,0.315149182,0,0,0,0,0,18,0.1,7/19/21,15.14,20.23247787,0.202324779,18_71921
82,1.764535137,0,0,0,0,0.891433981,0.791090231,0,0,0,0,0,19,0,7/19/21,14.15,22.44705935,0.224470593,19_71921